wikidata_id	word	category
Q146	Katze	Animal
Q144	Hund	Animal
Q204175	Hamster	Animal
Q9394	Kaninchen	Animal
Q83310	Maus	Animal
Q36396	Ratte	Animal
Q79803	Meerschweinchen	Animal
Q123141	Goldfisch	Animal
Q15548309	Papagei	Animal
Q830	Kuh	Animal
Q787	Schwein	Animal
Q7368	Schaf	Animal
Q2934	Ziege	Animal
Q726	Pferd	Animal
Q780	Huhn	Animal
Q2201314	Henne	Animal
Q2216236	Hahn	Animal
Q16529344	Gans	Animal
Q3736439	Ente	Animal
Q848706	Truthahn	Animal
Q30090244	Bär	Animal
Q18498	Wolf	Animal
Q29838690	Hirsch	Animal
Q63941258	Hase	Animal
Q8331	Fuchs	Animal
Q6120	Igel	Animal
Q9482	Eichhörnchen	Animal
Q1484022	Eber	Animal
Q19773196	Murmeltier	Animal
Q140	Löwe	Animal
Q19939	Tiger	Animal
Q35694	Jaguar	Animal
Q34706	Panther	Animal
Q7378	Elefant	Animal
Q15083	Giraffe	Animal
Q1367	Affe	Animal
Q36611	Gorilla	Animal
Q5070208	Känguru	Animal
Q36101	Koala	Animal
Q33602	Panda	Animal
Q2274076	Faultier	Animal
Q30263	Robbe	Animal
Q9147	Pinguin	Animal
Q33609	Eisbär	Animal
Q40994	Walross	Animal
Q152	Fisch	Animal
Q7372	Hai	Animal
Q7369	Delfin	Animal
Q1865281	Wal	Animal
Q3887135	Seelöwe	Animal
Q30178	Qualle	Animal
Q611843	Tintenfisch	Animal
Q74363	Seepferdchen	Animal
Q83483	Seeigel	Animal
Q25349	Seestern	Animal
Q27855	Muschel	Animal
Q127470	Seegurke	Animal
Q7391	Biene	Animal
Q9458574	Wespe	Animal
Q7367	Moskito	Animal
Q859257	Fliege	Animal
Q1357	Spinne	Animal
Q18398431	Heuschrecke	Animal
Q1661828	Kakerlake	Animal
Q11946202	Schmetterling	Animal
Q7386	Ameise	Animal
Q1725788	Motte	Animal
Q308841	Schnecke	Animal
Q1953597	Nacktschnecke	Animal
Q2699803	Möwe	Animal
Q43365	Krähe	Animal
Q2092297	Adler	Animal
Q113546704	Taube	Animal
Q8021345	Eule	Animal
Q2495957	Elster	Animal
Q28922	Spatz	Animal
Q201251	Pfau	Animal
Q3116510	Frosch	Animal
Q6453151	Kröte	Animal
Q2535664	Krokodil	Animal
Q15629245	Eidechse	Animal
Q223044	Schildkröte	Animal
Q219329	Meeresschildkröte	Animal
Q2102	Schlange	Animal
