species_name;wrong_entity;comment;;
anaconda;0;;;Potentially wrong entities are maked with 1 - this is a preliminary list, candidates for wrong entities should be checked again.
ant;0;;;
antelope;0;;;
aspen;?;fehlt in eco_en_000066_30;;
auburn;1;kastanienbraun (Farbbezeichnung, insb. für Haare);;
auk;0;;;
azalea;0;;;
badger;?;fehlt in eco_en_000066_40, bezeichnet aber wahrschieinlich einen Dachs (u.U. aber auch einen Händler);;
banyan;?;fehlt in eco_en_000066_40, kann einen Morgenrock oder einen Feigenbaum bezeichnen;;
barb;1;Widerhaken, Stachel, Spitze, aber auch Barbe (Fisch). In unseren Texten sind meist Spitzen gemeint;;
bat;0;Fledermaus, Schläger (scheint in unseren Texten eher Fledermäuse zu bezeichnen, könnte man nochmal im Einzelnen prüfen);;
beagle;0;;;
bean;?;"stark kontextabhängig, ob tatsächlich ""Naturbezeichnung"" oder Bohnen als Gericht";;
bear;0;;;
beaver;0;;;
bee;0;;;
beetle;0;;;
bilberry;0;;;
bindweed;0;;;
bitch;0/1;;;
bloodhound;0;;;
blueberry;0;;;
boa;0;;;
boar;0;;;
bramble;0;;;
bream;?;;;
buckeye;0;;;
buff;?;;;
buffalo;0;;;
bull;0;;;
bulldog;0;;;
bullfinch;0;;;
bunting;0;;;
butterfly;0;;;
cabbage;0;;;
calf;0;;;
camel;0;;;
cane;?;(Geh)stock, aber auch Hund?;;
carp;0;;;
cat;0;;;
cattle;0;;;
chickadee;0;;;
chicken;0;;;
clam;0;;;
clematis;0;;;
cobra;0;;;
cockroach;0;;;
cod;0;;;
collie;0;;;
condor;0;;;
conifer;0;;;
coral;0;;;
cottonwood;0;;;
cow;0;;;
crab;0;;;
crane;0/1;Kran, Kranich;;
crocodile;0;;;
crow;0;;;
cu;?;fehlt in eco_en_000066_40, unklar;;
cuckoo;0;;;
cypress;0;;;
daisy;0;;;
dandelion;0;;;
deer;0;;;
doe;0;;;
dog;0;;;
dogwood;0;;;
dolphin;0;;;
donkey;0;;;
dorking;0;;;
dormer;1;"Bezeichnet meinst eine Dachgaube (auch in den Textdaten hier); kann theoretisch auch eine Schafsrasse bezeichnen";;
dormouse;0;;;
dove;0;;;
drone;?;;;
duck;0;;;
eagle;0;;;
eel;0;;;
elephant;0;;;
ewe;0;;;
falcon;0;;;
fern;0;;;
finch;0;;;
fish;0;;;
flea;0;;;
flounder;1;Im Text fälschlicherweise als Verb erkannt, nicht grunsätzlich falsch (Flunder);;
fly;0;;;
fox;0;;;
frizzle;0;;;
frog;0;;;
gazelle;0;;;
giraffe;0;;;
glowworm;0;;;
goat;0;;;
goose;0;;;
grass;0;;;
grasshopper;0;;;
greyhound;0;;;
grouse;0;;;
gull;0/1;eco_en_000013_1600 gull von gulliable meint einen Leichtgläubigen;;
halibut;0;;;
hare;0/1;"eco _en_000004_24400 hare-bell blue meint Glockenblume entitiy plant, eco_en_000066_40
hare kommt nur im Wort share vor und nicht als eigener Begriff";;
harrier;?;;;
hawk;0;;;
heather;0;;;
heifer;0;;;
hellebore;0;;;
hemp;0;;;
hen;0;;;
heron;0;;;
herring;0;;;
hoopoe;0;;;
hornet;0;;;
horse;0;;;
huckleberry;0;;;
jackal;0;;;
jay;?;;;
jellyfish;0;;;
kestrel;0;;;
kite;?;;;
lark;?;Lerche, Spaß;;
lily;0;;;
linnet;0;;;
lion;0;;;
lizard;0;;;
loach;0;;;
locust;0;;;
lotus;0;;;
magpie;0;;;
manzanita;0;;;
mare;0;;;
marten;0;;;
mink;0;;;
minnow;0;;;
mistletoe;0;;;
mite;0;;;
mole;0;;;
mongrel;0;;;
monkey;0;;;
mosquito;0;;;
moth;0;;;
mouse;0;;;
mulberry;0;;;
mussel;0;;;
newt;0;;;
nightingale;0;;;
nun;1;nochmal in die Texte reinschauen;;
otter;0;;;
owl;0;;;
panther;0;;;
parrot;0;;;
partridge;0;;;
peacock;0;;;
pheasant;0;;;
pig;0;;;
pigeon;0;;;
polecat;0;;;
poodle;0;;;
porcupine;0;;;
poultry;0;;;
primrose;0;;;
puffball;1;is a fungus ;;
python;0;;;
quail;0;;;
rabbit;0;;;
ragamuffin;1;Straßenjunge (Beleidigung);;
ram;0;;;
rat;0;;;
rattlesnake;0;;;
raven;0;;;
redstart;0;;;
reed;0;;;
robin;0;;;
rose;0;;;
rue;1;;;
salamander;0;;;
salmon;0;;;
sardine;0;;;
scallop;0;;;
seal;0;;;
seaweed;0;;;
shark;0;;;
sheep;0;;;
shellfish;0;;;
shrimp;0;;;
silkworm;0;;;
skunk;0;;;
slate;1;Schiefer, nochmal in die Texte schauen;;
sloth;0;;;
slug;0;;;
snail;0;;;
snake;0;;;
snipe;?;;;
sole;?;;;
sparrow;0;;;
spider;0;;;
squirrel;0;;;
stag;0;;;
stallion;0;;;
starling;0;;;
stint;0;;;
stork;0;;;
swan;0;;;
swifter;?;Schaf? Nochmal prüfen;;
sycamore;0;;;
teal;1;Vermutlich eine Farbe, nochmal in die Texte schauen;;
terrapin;0;;;
thistle;0;;;
thoroughbred;0;;;
thrasher;0;;;
thrush;?;Kann ein Vogel sein, aber auch eine Infektion. Nochmal in die Texte schauen;;
tiger;0;;;
tippler;1;;;
toad;0;;;
tree;0/1;;;
trout;0;;;
turkey;0;;;
turnip;0;;;
turtle;0/1;turtle-dove;;
urchin;1;;;
vertebrate;0;;;
vine;0;;;
vulture;0;;;
walrus;0;;;
warbler;0;;;
wasp;0;;;
weasel;0;;;
whale;0;;;
willow;0/1;;;
wolf;0;;;
woodpecker;0;;;
yeast;0;;;
